 format: day,hour,forecast,value  location:60_37 Start : 20160101 
 4,2000,+28,353.000000 
 4,2000,+31,335.000000 
 4,2000,+34,326.000000 
 4,2000,+37,326.000000 
 4,2000,+40,326.000000 
 4,2000,+43,320.000000 
 4,2000,+46,320.000000 
 4,2000,+49,321.000000 
 4,2000,+52,318.000000 
 4,2000,+55,318.000000 
 4,2000,+58,319.000000 
 4,2000,+61,326.000000 
 4,2000,+64,329.000000 
 4,2000,+67,331.000000 
 4,2300,+4,357.000000 
 4,2300,+7,347.000000 
 4,2300,+10,351.000000 
 4,2300,+13,350.000000 
 4,2300,+16,349.000000 
 4,2300,+19,345.000000 
 4,2300,+22,350.000000 
 4,2300,+25,353.000000 
 4,2300,+28,335.000000 
 4,2300,+31,326.000000 
 4,2300,+34,326.000000 
 4,2300,+37,326.000000 
 4,2300,+40,320.000000 
 4,2300,+43,320.000000 
 4,2300,+46,321.000000 
 4,2300,+49,318.000000 
 4,2300,+52,318.000000 
 4,2300,+55,319.000000 
 4,2300,+58,326.000000 
 4,2300,+61,329.000000 
 4,2300,+64,331.000000 
 5,0200,+4,347.000000 
 5,0200,+7,351.000000 
 5,0200,+10,350.000000 
 5,0200,+13,349.000000 
 5,0200,+16,345.000000 
 5,0200,+19,350.000000 
 5,0200,+22,353.000000 
 5,0200,+25,335.000000 
 5,0200,+28,326.000000 
 5,0200,+31,326.000000 
 5,0200,+34,326.000000 
 5,0200,+37,320.000000 
 5,0200,+40,320.000000 
 5,0200,+43,321.000000 
 5,0200,+46,318.000000 
 5,0200,+49,318.000000 
 5,0200,+52,319.000000 
 5,0200,+55,326.000000 
 5,0200,+58,329.000000 
 5,0200,+61,331.000000 
 5,0500,+4,351.000000 
 5,0500,+7,350.000000 
 5,0500,+10,349.000000 
 5,0500,+13,345.000000 
 5,0500,+16,350.000000 
 5,0500,+19,353.000000 
 5,0500,+22,335.000000 
 5,0500,+25,326.000000 
 5,0500,+28,326.000000 
 5,0500,+31,326.000000 
 5,0500,+34,320.000000 
 5,0500,+37,320.000000 
 5,0500,+40,321.000000 
 5,0500,+43,318.000000 
 5,0500,+46,318.000000 
 5,0500,+49,319.000000 
 5,0500,+52,326.000000 
 5,0500,+55,329.000000 
 5,0500,+58,331.000000 
 5,0800,+4,350.000000 
 5,0800,+7,349.000000 
 5,0800,+10,345.000000 
 5,0800,+13,350.000000 
 5,0800,+16,353.000000 
 5,0800,+19,335.000000 
 5,0800,+22,326.000000 
 5,0800,+25,326.000000 
 5,0800,+28,326.000000 
 5,0800,+31,320.000000 
 5,0800,+34,320.000000 
 5,0800,+37,321.000000 
 5,0800,+40,318.000000 
 5,0800,+43,318.000000 
 5,0800,+46,319.000000 
 5,0800,+49,326.000000 
 5,0800,+52,329.000000 
 5,0800,+55,331.000000 
 5,1100,+4,349.000000 
 5,1100,+7,345.000000 
 5,1100,+10,350.000000 
 5,1100,+13,353.000000 
 5,1100,+16,335.000000 
 5,1100,+19,326.000000 
 5,1100,+22,326.000000 
 5,1100,+25,326.000000 
 5,1100,+28,320.000000 
 5,1100,+31,320.000000 
 5,1100,+34,321.000000 
 5,1100,+37,318.000000 
 5,1100,+40,318.000000 
 5,1100,+43,319.000000 
 5,1100,+46,326.000000 
 5,1100,+49,329.000000 
 5,1100,+52,331.000000 
 5,1400,+4,346.000000 
 5,1400,+7,351.000000 
 5,1400,+10,354.000000 
 5,1400,+13,335.000000 
 5,1400,+16,326.000000 
 5,1400,+19,326.000000 
 5,1400,+22,326.000000 
 5,1400,+25,320.000000 
 5,1400,+28,320.000000 
 5,1400,+31,321.000000 
 5,1400,+34,318.000000 
