 format: day,hour,forecast,value  location:60_37 Start : 20150101 
 3,2000,+7,0.000000 
 3,2000,+10,0.000000 
 3,2000,+13,0.000000 
 3,2000,+16,10.000000 
 3,2000,+19,10.000000 
 3,2000,+22,10.000000 
 3,2000,+25,10.000000 
 3,2000,+28,10.000000 
 3,2000,+31,20.000000 
 3,2000,+34,30.000000 
 3,2000,+37,27.000000 
 3,2000,+40,60.000000 
 3,2000,+43,60.000000 
 3,2000,+46,60.000000 
 3,2000,+49,63.000000 
 3,2000,+52,20.000000 
 3,2000,+55,20.000000 
 3,2000,+58,10.000000 
 3,2000,+61,10.000000 
 3,2000,+64,10.000000 
 3,2000,+67,10.000000 
 3,2300,+4,0.000000 
 3,2300,+7,0.000000 
 3,2300,+10,0.000000 
 3,2300,+13,10.000000 
 3,2300,+16,10.000000 
 3,2300,+19,10.000000 
 3,2300,+22,10.000000 
 3,2300,+25,10.000000 
 3,2300,+28,20.000000 
 3,2300,+31,30.000000 
 3,2300,+34,27.000000 
 3,2300,+37,60.000000 
 3,2300,+40,60.000000 
 3,2300,+43,60.000000 
 3,2300,+46,63.000000 
 3,2300,+49,20.000000 
 3,2300,+52,20.000000 
 3,2300,+55,10.000000 
 3,2300,+58,10.000000 
 3,2300,+61,10.000000 
 3,2300,+64,10.000000 
 4,0200,+4,0.000000 
 4,0200,+7,0.000000 
 4,0200,+10,10.000000 
 4,0200,+13,10.000000 
 4,0200,+16,10.000000 
 4,0200,+19,10.000000 
 4,0200,+22,10.000000 
 4,0200,+25,20.000000 
 4,0200,+28,30.000000 
 4,0200,+31,27.000000 
 4,0200,+34,59.000000 
 4,0200,+37,70.000000 
 4,0200,+40,60.000000 
 4,0200,+43,63.000000 
 4,0200,+46,20.000000 
 4,0200,+49,20.000000 
 4,0200,+52,10.000000 
 4,0200,+55,10.000000 
 4,0200,+58,10.000000 
 4,0200,+61,10.000000 
 4,0500,+4,0.000000 
 4,0500,+7,10.000000 
 4,0500,+10,10.000000 
 4,0500,+13,10.000000 
 4,0500,+16,10.000000 
 4,0500,+19,10.000000 
 4,0500,+22,20.000000 
 4,0500,+25,30.000000 
 4,0500,+28,27.000000 
 4,0500,+31,59.000000 
 4,0500,+34,70.000000 
 4,0500,+37,60.000000 
 4,0500,+40,63.000000 
 4,0500,+43,20.000000 
 4,0500,+46,20.000000 
 4,0500,+49,10.000000 
 4,0500,+52,10.000000 
 4,0500,+55,10.000000 
 4,0500,+58,10.000000 
 4,0800,+4,0.000000 
 4,0800,+7,0.000000 
 4,0800,+10,10.000000 
 4,0800,+13,10.000000 
 4,0800,+16,10.000000 
 4,0800,+19,20.000000 
 4,0800,+22,30.000000 
 4,0800,+25,27.000000 
 4,0800,+28,59.000000 
 4,0800,+31,70.000000 
 4,0800,+34,60.000000 
 4,0800,+37,63.000000 
 4,0800,+40,20.000000 
 4,0800,+43,20.000000 
 4,0800,+46,10.000000 
 4,0800,+49,10.000000 
 4,0800,+52,10.000000 
 4,0800,+55,10.000000 
 4,1100,+4,0.000000 
 4,1100,+7,10.000000 
 4,1100,+10,10.000000 
 4,1100,+13,10.000000 
 4,1100,+16,20.000000 
 4,1100,+19,30.000000 
 4,1100,+22,27.000000 
 4,1100,+25,59.000000 
 4,1100,+28,70.000000 
 4,1100,+31,60.000000 
 4,1100,+34,63.000000 
 4,1100,+37,20.000000 
 4,1100,+40,20.000000 
 4,1100,+43,10.000000 
 4,1100,+46,10.000000 
 4,1100,+49,10.000000 
 4,1100,+52,10.000000 
 4,1400,+4,0.000000 
 4,1400,+7,10.000000 
 4,1400,+10,10.000000 
 4,1400,+13,20.000000 
 4,1400,+16,30.000000 
 4,1400,+19,27.000000 
 4,1400,+22,59.000000 
 4,1400,+25,70.000000 
 4,1400,+28,60.000000 
 4,1400,+31,63.000000 
 4,1400,+34,20.000000 
 4,1400,+37,20.000000 
 4,1400,+40,10.000000 
 4,1400,+43,10.000000 
 4,1400,+46,10.000000 
 4,1400,+49,10.000000 
 4,1700,+4,10.000000 
 4,1700,+7,10.000000 
 4,1700,+10,20.000000 
 4,1700,+13,30.000000 
 4,1700,+16,27.000000 
 4,1700,+19,59.000000 
 4,1700,+22,70.000000 
 4,1700,+25,60.000000 
 4,1700,+28,63.000000 
 4,1700,+31,20.000000 
 4,1700,+34,20.000000 
 4,1700,+37,10.000000 
 4,1700,+40,10.000000 
 4,1700,+43,10.000000 
 4,1700,+46,10.000000 
 4,2000,+4,20.000000 
 4,2000,+7,20.000000 
 4,2000,+10,30.000000 
 4,2000,+13,30.000000 
 4,2000,+16,60.000000 
 4,2000,+19,70.000000 
 4,2000,+22,60.000000 
 4,2000,+25,62.000000 
 4,2000,+28,20.000000 
 4,2000,+31,20.000000 
 4,2000,+34,20.000000 
 4,2000,+37,20.000000 
