지점,일시,기온(C),강수량(mm),풍속(m/s),풍향(16방위),습도(%),증기압(hPa),이슬점온도(C),현지기압(hPa),해면기압(hPa),일조(hr),일사(MJ/m2),적설(cm),3시간신적설(cm),전운량(10분위),중하층운량(10분위),운형(운형약어),최저운고(100m),시정(10m),지면상태(지면상태코드),현상번호(국내식),지면온도(C),5cm 지중온도(C),10cm 지중온도(C),20cm 지중온도(C),30cm 지중온도(C)
185,2017-01-02 00:00,10.1,,3.8,70,72,8.8,5.2,1015.7,1024.8,,,,,,,,,1424,,,7.8,,,,
185,2017-01-02 01:00,10.7,,2.5,90,71,9.1,5.6,1015.1,1024.2,,,,,,,,,1767,,,8.1,,,,
185,2017-01-02 02:00,10.7,,2.9,70,74,9.5,6.2,1014.6,1023.7,,,,,,,,,1816,,,7.5,,,,
185,2017-01-02 03:00,10.7,,3.7,90,75,9.6,6.4,1014.7,1023.8,,,,,,,,,1879,,,8.1,,,,
185,2017-01-02 04:00,10.8,,3.2,110,78,10.1,7.1,1013.9,1022.9,,,,,,,,,1194,,,8.4,,,,
185,2017-01-02 05:00,11.9,,2.1,90,76,10.5,7.7,1013.6,1022.6,,,,,,,,,1994,,,8.6,,,,
185,2017-01-02 06:00,11.3,0,3.4,20,75,10,7,1013.9,1022.9,,,,,,,,,1683,,,8.8,,,,
185,2017-01-02 07:00,10.8,,3.8,20,83,10.7,8,1014.2,1023.2,,,,,,,,,870,,,9,,,,
185,2017-01-02 08:00,10.3,,3.6,50,90,11.2,8.7,1014.4,1023.5,0,0,,,,,,,795,,,9,,,,
185,2017-01-02 09:00,10.8,.3,2.6,20,87,11.2,8.7,1014.5,1023.5,0,.02,,,,,,,1087,,,9.5,,,,
185,2017-01-02 10:00,11,,5.6,20,86,11.2,8.7,1015,1024,0,.16,,,,,,,1424,,,10.5,,,,
185,2017-01-02 11:00,11.3,,4.9,50,90,12,9.7,1015,1024,0,.26,,,,,,,953,,,11.9,,,,
185,2017-01-02 12:00,12.1,,3.9,50,87,12.2,9.9,1014.5,1023.5,.2,.72,,,,,,,1911,,,14.4,,,,
185,2017-01-02 13:00,12.8,,3.2,360,80,11.8,9.4,1013.6,1022.6,.1,.7,,,,,,,2000,,,15.4,,,,
185,2017-01-02 14:00,12.7,,4,340,78,11.4,8.9,1013.2,1022.2,.2,.78,,,,,,,2000,,,15.1,,,,
185,2017-01-02 15:00,13.1,,4.6,340,75,11.2,8.7,1013,1021.9,.4,.71,,,,,,,1949,,,14.2,,,,
185,2017-01-02 16:00,13,,3.8,340,75,11.2,8.6,1013.6,1022.5,1,.78,,,,,,,1979,,,13.3,,,,
185,2017-01-02 17:00,12.6,,5.7,340,80,11.6,9.2,1013.7,1022.7,.5,.24,,,,,,,2000,,,11.8,,,,
185,2017-01-02 18:00,12.2,,5.3,360,80,11.3,8.8,1014,1023,0,.02,,,,,,,2000,,,10.1,,,,
185,2017-01-02 19:00,11.9,,5.5,360,76,10.5,7.7,1014.3,1023.3,,,,,,,,,2000,,,9.1,,,,
185,2017-01-02 20:00,11.6,,6,360,76,10.4,7.5,1014.6,1023.6,,,,,,,,,2000,,,8.6,,,,
185,2017-01-02 21:00,11.6,,6.2,360,78,10.6,7.8,1014.8,1023.8,,,,,,,,,2000,,,8.6,,,,
185,2017-01-02 22:00,11.4,,6.3,360,76,10.2,7.3,1015,1024,,,,,,,,,2000,,,8.8,,,,
185,2017-01-02 23:00,11.2,,7.2,340,83,11,8.4,1014.9,1023.9,,,,,,,,,1827,,,9,,,,
185,2017-01-03 00:00,11,,6.8,340,80,10.4,7.6,1014.8,1023.8,,,,,,,,,1937,,,8.6,,,,
185,2017-01-03 01:00,10.5,,7.4,340,80,10.1,7.1,1014.8,1023.9,,,,,,,,,1824,,,8.1,,,,
185,2017-01-03 02:00,10.3,,8.7,340,79,9.9,6.8,1015.4,1024.5,,,,,,,,,1583,,,7.8,,,,
185,2017-01-03 03:00,9.5,,7.8,340,79,9.3,6,1015.7,1024.8,,,,,,,,,749,,,7.3,,,,
185,2017-01-03 04:00,9,,7.9,340,78,8.9,5.3,1015.6,1024.7,,,,,,,,,266,,,6.9,,,,
185,2017-01-03 05:00,8.9,,8.1,360,77,8.7,5,1015.6,1024.7,,,,,,,,,270,,,6.6,,,,
185,2017-01-03 06:00,8.9,,8.3,340,80,9.1,5.6,1015.2,1024.3,,,,,,,,,282,,,6.6,,,,
185,2017-01-03 07:00,9.1,,7.2,340,78,9,5.4,1015.6,1024.7,,,,,,,,,324,,,6.5,,,,
185,2017-01-03 08:00,9,,7,360,77,8.8,5.1,1015.9,1025,0,.01,,,,,,,379,,,6.4,,,,
185,2017-01-03 09:00,9.1,,7.3,360,69,8,3.7,1016.3,1025.4,.6,.22,,,,,,,463,,,6.7,,,,
185,2017-01-03 10:00,9.2,,8.2,360,65,7.5,2.9,1016.7,1025.8,1,.65,,,,,,,570,,,7.4,,,,
185,2017-01-03 11:00,9.5,,7,360,66,7.8,3.4,1016.6,1025.7,1,1.06,,,,,,,586,,,8.6,,,,
185,2017-01-03 12:00,9.4,,7.4,360,63,7.4,2.7,1016.3,1025.4,1,1.35,,,,,,,737,,,9.6,,,,
185,2017-01-03 13:00,9.6,,6.2,340,66,7.8,3.5,1015.5,1024.6,1,1.44,,,,,,,786,,,10.6,,,,
185,2017-01-03 14:00,9.8,,6.7,360,64,7.7,3.3,1014.9,1024,1,1.43,,,,,,,882,,,10.9,,,,
185,2017-01-03 15:00,9.7,,6.2,360,64,7.7,3.2,1014.8,1023.9,1,1.22,,,,,,,834,,,10.2,,,,
185,2017-01-03 16:00,9.8,,6,360,62,7.5,2.8,1014.6,1023.7,1,.86,,,,,,,872,,,9,,,,
185,2017-01-03 17:00,9.5,,6.1,360,61,7.2,2.3,1014.7,1023.8,1,.43,,,,,,,967,,,7.7,,,,
185,2017-01-03 18:00,9,,6,360,66,7.5,2.9,1014.8,1023.9,.3,.04,,,,,,,1041,,,6.1,,,,
185,2017-01-03 19:00,8.6,,4.6,360,65,7.2,2.3,1015.4,1024.5,,,,,,,,,1205,,,5.3,,,,
185,2017-01-03 20:00,8.6,,4.9,360,73,8.1,4,1015.3,1024.4,,,,,,,,,1090,,,5.3,,,,
185,2017-01-03 21:00,8.3,,5,360,72,7.8,3.5,1015.7,1024.8,,,,,,,,,1153,,,5.1,,,,
185,2017-01-03 22:00,8.1,,5,20,72,7.7,3.3,1015.6,1024.7,,,,,,,,,1153,,,4.7,,,,
185,2017-01-03 23:00,7.9,,5.4,20,72,7.6,3.1,1015.5,1024.6,,,,,,,,,1158,,,4.5,,,,
185,2017-01-04 00:00,7.9,,5,20,73,7.7,3.3,1015.3,1024.4,,,,,,,,,1109,,,4.4,,,,
185,2017-01-04 01:00,8.1,,5.4,360,73,7.8,3.5,1014.9,1024,,,,,,,,,1148,,,4.5,,,,
185,2017-01-04 02:00,8.1,,6,360,69,7.4,2.7,1014.7,1023.8,,,,,,,,,1384,,,4.6,,,,
185,2017-01-04 03:00,8,,5.8,360,73,7.8,3.4,1014.7,1023.8,,,,,,,,,1154,,,4.5,,,,
185,2017-01-04 04:00,8.4,,6.3,360,71,7.8,3.4,1014.6,1023.7,,,,,,,,,1268,,,4.7,,,,
185,2017-01-04 05:00,8.1,,7.1,20,73,7.8,3.5,1014.3,1023.4,,,,,,,,,1169,,,4.6,,,,
185,2017-01-04 06:00,8.3,,6.2,20,74,8.1,3.9,1014.6,1023.7,,,,,,,,,1184,,,4.6,,,,
185,2017-01-04 07:00,8.5,,6.2,20,71,7.8,3.5,1014.6,1023.7,,,,,,,,,1241,,,4.5,,,,
185,2017-01-04 08:00,8.4,,6.1,20,70,7.7,3.2,1015.1,1024.2,0,.01,,,,,,,1286,,,4.6,,,,
185,2017-01-04 09:00,9.1,,5.3,20,64,7.4,2.6,1015.4,1024.5,.9,.2,,,,,,,1413,,,5.4,,,,
185,2017-01-04 10:00,10.4,,4.6,20,61,7.6,3.1,1015.7,1024.8,.8,.57,,,,,,,1300,,,8,,,,
185,2017-01-04 11:00,11.1,,6.3,360,58,7.6,3.1,1015.7,1024.7,1,.99,,,,,,,1465,,,10.2,,,,
185,2017-01-04 12:00,11.4,,5.5,360,54,7.3,2.4,1015,1024,1,1.2,,,,,,,1417,,,12.4,,,,
185,2017-01-04 13:00,11,,6.3,360,58,7.6,3,1014.1,1023.1,1,1.14,,,,,,,1191,,,13.1,,,,
185,2017-01-04 14:00,11.3,,5.7,360,63,8.4,4.5,1013.9,1022.9,1,1.26,,,,,,,771,,,13.2,,,,
185,2017-01-04 15:00,10.9,,6,360,70,9.1,5.6,1013.6,1022.6,1,1,,,,,,,605,,,12.5,,,,
185,2017-01-04 16:00,10.8,,5.6,360,68,8.8,5.1,1013.6,1022.6,1,.64,,,,,,,591,,,10.6,,,,
185,2017-01-04 17:00,10.2,,6.2,360,72,8.9,5.3,1013.7,1022.8,.6,.13,,,,,,,592,,,8.7,,,,
185,2017-01-04 18:00,9.9,,5,360,75,9.1,5.6,1014.1,1023.2,0,0,,,,,,,561,,,7.4,,,,
185,2017-01-04 19:00,9.5,,3.3,50,77,9.1,5.6,1014.5,1023.6,,,,,,,,,486,,,7,,,,
185,2017-01-04 20:00,9.4,,4.3,20,78,9.2,5.7,1014.7,1023.8,,,,,,,,,418,,,6.6,,,,
185,2017-01-04 21:00,9.5,,4.9,20,77,9.1,5.6,1014.8,1023.9,,,,,,,,,425,,,6.9,,,,
185,2017-01-04 22:00,9.3,,4.6,50,77,9,5.4,1014.7,1023.8,,,,,,,,,422,,,7,,,,
185,2017-01-04 23:00,9.6,,5.6,20,77,9.2,5.7,1014.6,1023.7,,,,,,,,,414,,,7.2,,,,
185,2017-01-05 00:00,9.6,,6.9,20,77,9.2,5.7,1013.9,1023,,,,,,,,,421,,,7.2,,,,
185,2017-01-05 01:00,8.8,,5,50,79,8.9,5.3,1013.7,1022.8,,,,,,,,,349,,,6.8,,,,
185,2017-01-05 02:00,9.4,,7,20,80,9.4,6.1,1013.5,1022.6,,,,,,,,,347,,,7,,,,
185,2017-01-05 03:00,9.3,,6,20,78,9.1,5.6,1013.6,1022.7,,,,,,,,,334,,,7.1,,,,
185,2017-01-05 04:00,9.6,,7.1,50,75,8.9,5.3,1013.3,1022.4,,,,,,,,,371,,,7.2,,,,
185,2017-01-05 05:00,9.5,,6.4,50,74,8.7,5,1012.9,1022,,,,,,,,,378,,,7.2,,,,
185,2017-01-05 06:00,9.5,,6.7,50,66,7.8,3.4,1013.1,1022.2,,,,,,,,,511,,,7,,,,
185,2017-01-05 07:00,9.5,,5.6,50,68,8,3.8,1013.6,1022.7,,,,,,,,,495,,,7.1,,,,
185,2017-01-05 08:00,9,,4.9,50,69,7.9,3.6,1013.9,1023,0,0,,,,,,,487,,,7,,,,
185,2017-01-05 09:00,9.8,,.6,90,66,8,3.7,1014.7,1023.8,0,.1,,,,,,,588,,,8.3,,,,
185,2017-01-05 10:00,11.9,,.3,0,59,8.2,4.1,1015.3,1024.3,0,.22,,,,,,,905,,,10.2,,,,
185,2017-01-05 11:00,12.4,,1.3,20,63,9,5.5,1015.2,1024.2,0,.41,,,,,,,750,,,12.7,,,,
185,2017-01-05 12:00,13.1,,2.3,360,62,9.3,5.9,1014.7,1023.6,0,.57,,,,,,,712,,,14.3,,,,
185,2017-01-05 13:00,13.7,,2.3,360,61,9.5,6.3,1013.9,1022.8,0,.61,,,,,,,767,,,15.2,,,,
185,2017-01-05 14:00,13.3,,3,50,74,11.2,8.7,1013.2,1022.1,0,.45,,,,,,,718,,,14.4,,,,
185,2017-01-05 15:00,13.3,,1.8,50,75,11.4,8.9,1013.2,1022.1,0,.26,,,,,,,867,,,13.7,,,,
185,2017-01-05 16:00,13.2,,2.1,20,74,11.2,8.6,1013.2,1022.1,0,.26,,,,,,,1013,,,13.1,,,,
185,2017-01-05 17:00,12.6,,2.2,20,75,10.9,8.2,1013.7,1022.7,0,.1,,,,,,,1287,,,11.7,,,,
185,2017-01-05 18:00,12.3,0,2.2,360,71,10.1,7.1,1014.1,1023.1,0,.01,,,,,,,1398,,,10.4,,,,
185,2017-01-05 19:00,12.3,,1.6,360,70,9.9,6.9,1014.3,1023.3,,,,,,,,,1595,,,9.8,,,,
185,2017-01-05 20:00,11.8,,4.4,70,74,10.2,7.3,1014.5,1023.5,,,,,,,,,1951,,,9.6,,,,
185,2017-01-05 21:00,11.3,.4,1.5,340,84,11.2,8.6,1014.4,1023.4,,,,,,,,,1628,,,9.5,,,,
185,2017-01-05 22:00,11.7,,1.7,340,82,11.2,8.7,1014.4,1023.4,,,,,,,,,2000,,,9.6,,,,
185,2017-01-05 23:00,11.1,,1.9,340,82,10.8,8.1,1014.4,1023.4,,,,,,,,,2000,,,9.5,,,,
185,2017-01-06 00:00,11,0,3.2,360,83,10.9,8.2,1014.4,1023.4,,,,,,,,,2000,,,9.4,,,,
185,2017-01-06 01:00,10.8,,2.5,360,85,10.9,8.3,1013.9,1022.9,,,,,,,,,2000,,,9.3,,,,
185,2017-01-06 02:00,10.9,,3.2,20,84,10.9,8.2,1014.4,1023.4,,,,,,,,,2000,,,9.3,,,,
185,2017-01-06 03:00,10.2,.1,3.3,50,85,10.5,7.7,1014.4,1023.5,,,,,,,,,2000,,,9.1,,,,
185,2017-01-06 04:00,10.3,,4.4,50,78,9.7,6.6,1014.8,1023.9,,,,,,,,,2000,,,8.7,,,,
185,2017-01-06 05:00,10.1,,3.7,50,76,9.3,6,1014.2,1023.3,,,,,,,,,2000,,,8.4,,,,
185,2017-01-06 06:00,10.3,.1,4.2,20,71,8.8,5.2,1014.2,1023.3,,,,,,,,,2000,,,7.9,,,,
185,2017-01-06 07:00,10.2,,4.2,290,74,9.2,5.7,1015,1024.1,,,,,,,,,2000,,,7.5,,,,
185,2017-01-06 08:00,11,,1.6,270,72,9.4,6.1,1015.6,1024.6,0,0,,,,,,,2000,,,7.8,,,,
185,2017-01-06 09:00,10.7,,2.9,160,71,9.1,5.6,1015.8,1024.9,0,.14,,,,,,,2000,,,8.9,,,,
185,2017-01-06 10:00,12.6,,4.5,340,65,9.4,6.1,1016,1025,1,.62,,,,,,,1975,,,9.7,,,,
185,2017-01-06 11:00,14.4,,2,110,59,9.6,6.4,1015.9,1024.8,1,1.06,,,,,,,2000,,,12.1,,,,
185,2017-01-06 12:00,14.1,,4,360,58,9.3,5.9,1015.1,1024,1,1.27,,,,,,,1925,,,14.7,,,,
185,2017-01-06 13:00,15.2,,3.4,160,56,9.6,6.4,1014.2,1023.1,1,1.35,,,,,,,2000,,,17.1,,,,
185,2017-01-06 14:00,15.4,,2.9,290,56,9.7,6.6,1013.7,1022.6,1,1.12,,,,,,,2000,,,17.5,,,,
185,2017-01-06 15:00,13.6,,3.2,360,66,10.2,7.3,1013.3,1022.2,1,.79,,,,,,,2000,,,15.4,,,,
185,2017-01-06 16:00,13.8,,4.3,270,65,10.2,7.3,1013.4,1022.3,.9,.49,,,,,,,2000,,,13.5,,,,
185,2017-01-06 17:00,13.2,,2.1,140,66,9.9,6.9,1013.6,1022.5,1,.33,,,,,,,2000,,,12.4,,,,
185,2017-01-06 18:00,10.9,,2.4,110,73,9.5,6.2,1013.7,1022.7,.3,.03,,,,,,,2000,,,9.6,,,,
185,2017-01-06 19:00,10.8,,1,50,71,9.2,5.7,1014.4,1023.4,,,,,,,,,2000,,,7.9,,,,
185,2017-01-06 20:00,10.6,,1.1,200,71,9,5.5,1014.6,1023.7,,,,,,,,,2000,,,7.1,,,,
185,2017-01-06 21:00,10.7,,.6,20,67,8.6,4.8,1014.2,1023.2,,,,,,,,,2000,,,6.6,,,,
185,2017-01-06 22:00,10.4,,1.8,140,69,8.7,4.9,1014.4,1023.5,,,,,,,,,2000,,,6.6,,,,
185,2017-01-06 23:00,9.6,,2.7,90,72,8.5,4.7,1014.1,1023.2,,,,,,,,,2000,,,6.7,,,,
185,2017-01-07 00:00,11,,3.5,290,70,9.2,5.7,1013.8,1022.8,,,,,,,,,2000,,,6.8,,,,
185,2017-01-07 01:00,9.8,,2.9,110,70,8.4,4.5,1013.1,1022.1,,,,,,,,,2000,,,7.2,,,,
185,2017-01-07 02:00,11.2,,2.9,340,71,9.4,6.1,1012.3,1021.3,,,,,,,,,2000,,,6.8,,,,
185,2017-01-07 03:00,11.4,,1.9,160,66,8.8,5.2,1012.4,1021.4,,,,,,,,,2000,,,6.4,,,,
185,2017-01-07 04:00,10.2,,2.8,290,75,9.3,5.9,1012.1,1021.2,,,,,,,,,2000,,,6.4,,,,
185,2017-01-07 05:00,11.2,,2,200,70,9.3,5.9,1011.6,1020.6,,,,,,,,,2000,,,6.7,,,,
185,2017-01-07 06:00,10.1,,2.5,160,68,8.4,4.4,1011.6,1020.7,,,,,,,,,2000,,,7.1,,,,
185,2017-01-07 07:00,10.9,,2.8,20,69,9,5.4,1012,1021,,,,,,,,,2000,,,7.7,,,,
185,2017-01-07 08:00,9.7,,1.5,70,71,8.5,4.6,1011.9,1020.9,0,0,,,,,,,2000,,,7.8,,,,
185,2017-01-07 09:00,10.9,,1.1,140,66,8.5,4.7,1011.8,1020.8,0,.08,,,,,,,2000,,,9,,,,
185,2017-01-07 10:00,11.2,,1.8,360,68,9,5.5,1012.2,1021.2,0,.13,,,,,,,2000,,,9.6,,,,
185,2017-01-07 11:00,11.8,,1.6,320,68,9.3,6,1011.7,1020.7,0,.16,,,,,,,2000,,,10.6,,,,
185,2017-01-07 12:00,13.1,.2,1.4,340,65,9.7,6.6,1010,1018.9,0,.51,,,,,,,1878,,,14.4,,,,
185,2017-01-07 13:00,13.4,,1.2,320,65,9.9,6.9,1008.4,1017.3,.3,.65,,,,,,,2000,,,14.7,,,,
185,2017-01-07 14:00,13.4,,1.3,290,60,9.2,5.7,1007.3,1016.2,0,.46,,,,,,,2000,,,14.5,,,,
185,2017-01-07 15:00,13.5,0,.7,320,61,9.4,6.1,1007.1,1016,0,.25,,,,,,,2000,,,13.8,,,,
185,2017-01-07 16:00,13,,3.1,360,77,11.5,9,1007.2,1016.1,0,.12,,,,,,,1822,,,12.7,,,,
185,2017-01-07 17:00,11.8,,3.3,50,88,12.1,9.8,1006.4,1015.3,0,.09,,,,,,,1304,,,11.6,,,,
185,2017-01-07 18:00,11.5,0,2.8,70,88,11.9,9.5,1006.2,1015.1,0,0,,,,,,,1765,,,10.9,,,,
185,2017-01-07 19:00,11.3,,2.2,360,91,12.1,9.8,1006.6,1015.6,,,,,,,,,980,,,10.7,,,,
185,2017-01-07 20:00,10.8,,1.8,110,94,12.1,9.8,1006.1,1015.1,,,,,,,,,312,,,10.4,,,,
185,2017-01-07 21:00,10.8,4.2,4.2,110,97,12.5,10.3,1006.1,1015.1,,,,,,,,,,,,10.4,,,,
185,2017-01-07 22:00,10.4,,3.1,90,98,12.3,10,1005.4,1014.4,,,,,,,,,959,,,10.2,,,,
185,2017-01-07 23:00,10.8,,2.7,50,96,12.4,10.1,1005.3,1014.3,,,,,,,,,944,,,10.2,,,,
185,2017-01-08 00:00,11.3,3.7,3.7,20,96,12.8,10.6,1004.5,1013.4,,,,,,,,,928,,,10.6,,,,
185,2017-01-08 01:00,10.8,,4.3,360,97,12.5,10.3,1004.2,1013.2,,,,,,,,,1329,,,10.3,,,,
185,2017-01-08 02:00,11.4,,8.4,20,97,13,10.9,1003.7,1012.6,,,,,,,,,,,,10.7,,,,
185,2017-01-08 03:00,10.4,3.6,8.5,20,96,12,9.7,1003.6,1012.6,,,,,,,,,,,,10.1,,,,
185,2017-01-08 04:00,9.8,,10.4,50,95,11.5,9,1002.8,1011.7,,,,,,,,,,,,9.5,,,,
185,2017-01-08 05:00,9.8,,9.7,50,94,11.3,8.8,1002.3,1011.2,,,,,,,,,1672,,,9.3,,,,
185,2017-01-08 06:00,9.8,2.2,9.7,20,91,10.9,8.3,1002.1,1011,,,,,,,,,2000,,,9.2,,,,
185,2017-01-08 07:00,9.9,,9.2,50,89,10.8,8.1,1002.6,1011.6,,,,,,,,,1884,,,9.1,,,,
185,2017-01-08 08:00,9.5,,10,50,92,10.9,8.2,1003.4,1012.4,0,0,,,,,,,544,,,9,,,,
185,2017-01-08 09:00,9.9,.1,5.5,50,90,10.9,8.3,1004.1,1013.1,0,.05,,,,,,,1429,,,9.4,,,,
185,2017-01-08 10:00,10.9,,4.3,50,87,11.3,8.8,1004.7,1013.7,0,.29,,,,,,,2000,,,11.4,,,,
185,2017-01-08 11:00,11.7,,2.6,50,85,11.6,9.2,1005.1,1014,0,.51,,,,,,,2000,,,12.9,,,,
185,2017-01-08 12:00,11.6,0,5.3,50,81,11,8.4,1004.6,1013.5,0,.45,,,,,,,2000,,,12.9,,,,
185,2017-01-08 13:00,12.1,,6.1,360,79,11.1,8.5,1004.1,1013,0,.54,,,,,,,2000,,,13.8,,,,
185,2017-01-08 14:00,11.1,,8.9,340,87,11.5,9,1003.1,1012,.1,.57,,,,,,,1917,,,12.9,,,,
185,2017-01-08 15:00,10.8,,7.5,340,81,10.4,7.6,1003.2,1012.1,.1,.68,,,,,,,1998,,,12.3,,,,
185,2017-01-08 16:00,10.7,,7.2,340,74,9.5,6.2,1003.5,1012.5,1,.79,,,,,,,1992,,,10.6,,,,
185,2017-01-08 17:00,10.4,,10.2,340,81,10.2,7.2,1004.1,1013.1,0,.2,,,,,,,818,,,10.2,,,,
185,2017-01-08 18:00,9.6,,10.9,340,84,10,7,1004.3,1013.3,0,.03,,,,,,,479,,,8.8,,,,
185,2017-01-08 19:00,9.5,,10,340,82,9.7,6.5,1004.6,1013.6,,,,,,,,,652,,,7.9,,,,
185,2017-01-08 20:00,9.4,,9.1,340,73,8.5,4.7,1005,1014,,,,,,,,,714,,,7.4,,,,
185,2017-01-08 21:00,9.3,,8.6,340,75,8.7,5,1005.4,1014.4,,,,,,,,,674,,,7.4,,,,
185,2017-01-08 22:00,9.2,,9.7,340,78,9,5.5,1005.6,1014.6,,,,,,,,,1111,,,7.5,,,,
185,2017-01-08 23:00,9.2,,9.4,340,80,9.3,5.9,1006,1015,,,,,,,,,1393,,,7.8,,,,
185,2017-01-09 00:00,9.1,,11.5,340,80,9.2,5.8,1005.8,1014.8,,,,,,,,,1475,,,7.8,,,,
185,2017-01-09 01:00,9.2,,13.2,340,80,9.3,5.9,1005.9,1014.9,,,,,,,,,1883,,,7.8,,,,
185,2017-01-09 02:00,9.1,,10.5,340,78,9,5.4,1006.3,1015.3,,,,,,,,,1949,,,7.7,,,,
185,2017-01-09 03:00,9.1,0,13.2,340,81,9.3,6,1006.5,1015.5,,,,,,,,,949,,,7.8,,,,
185,2017-01-09 04:00,8.6,,14,340,85,9.5,6.2,1006.4,1015.4,,,,,,,,,779,,,7.7,,,,
185,2017-01-09 05:00,8.1,,19.5,340,83,8.9,5.3,1006.6,1015.7,,,,,,,,,1078,,,7.3,,,,
185,2017-01-09 06:00,7.9,0,18.3,320,75,8,3.7,1007.1,1016.2,,,,,,,,,1416,,,6.8,,,,
185,2017-01-09 07:00,7.6,,17.8,340,77,8,3.8,1007.9,1017,,,,,,,,,1153,,,6.6,,,,
185,2017-01-09 08:00,7.4,,16.1,340,70,7.2,2.2,1008.6,1017.7,0,0,,,,,,,1321,,,6,,,,
185,2017-01-09 09:00,7.1,0,16.3,340,68,6.8,1.5,1010,1019.1,0,0,,,,,,,1820,,,5.8,,,,
185,2017-01-09 10:00,7.3,,18.9,340,70,7.1,2.1,1010.5,1019.6,0,.02,,,,,,,1634,,,6.1,,,,
185,2017-01-09 11:00,7.3,,14.8,340,69,7,1.9,1010.3,1019.4,0,.06,,,,,,,1633,,,6.2,,,,
185,2017-01-09 12:00,7.6,,16,340,68,7.1,2,1009.6,1018.7,0,.17,,,,,,,1049,,,6.8,,,,
185,2017-01-09 13:00,7.4,,14.8,340,66,6.8,1.4,1009.2,1018.3,.1,.32,,,,,,,1639,,,7.3,,,,
185,2017-01-09 14:00,7.3,,15.7,340,67,6.8,1.5,1008.9,1018,0,.33,,,,,,,1787,,,7.3,,,,
185,2017-01-09 15:00,7.2,,13.9,340,68,6.9,1.6,1008.9,1018,.3,.55,,,,,,,1834,,,7.8,,,,
