date,price
2018.09.12,70
2018.09.13,69
2018.09.14,69
2018.09.17,69
2018.09.18,70
2018.09.19,71
2018.09.20,70
2018.09.21,71
2018.09.24,72
2018.09.25,72
2018.09.26,72
2018.09.27,72
2018.09.28,73
2018.10.01,75
2018.10.02,75
2018.10.03,76
2018.10.04,74
2018.10.05,74
2018.10.08,74
2018.10.09,75
2018.10.10,73
2018.10.11,71
2018.10.12,71
2018.10.15,72
2018.10.16,72
2018.10.17,70
2018.10.18,69
2018.10.19,69
2018.10.22,69
2018.10.23,66
2018.10.24,67
2018.10.25,67
2018.10.26,68
2018.10.29,67
2018.10.30,66
2018.10.31,65
2018.11.01,64
2018.11.02,63
2018.11.05,63
2018.11.06,62
2018.11.07,62
2018.11.08,61
2018.11.09,60
2018.11.12,60
2018.11.13,56
2018.11.14,56
2018.11.15,56
2018.11.16,56
2018.11.19,57
2018.11.20,53
2018.11.21,55
2018.11.23,50
2018.11.26,52
2018.11.27,52
2018.11.28,50
2018.11.29,51
2018.11.30,51
2018.12.03,53
2018.12.04,53
2018.12.05,53
2018.12.06,51
2018.12.07,53
2018.12.10,51
2018.12.11,52
2018.12.12,51
2018.12.13,53
2018.12.14,51
2018.12.17,50
2018.12.18,46
2018.12.19,48
2018.12.20,46
2018.12.21,46
2018.12.24,43
2018.12.26,46
2018.12.27,45
2018.12.28,45
2018.12.31,45
2019.01.02,47
2019.01.03,47
2019.01.04,48
2019.01.07,49
2019.01.08,50
2019.01.09,52
2019.01.10,53
2019.01.11,52
2019.01.14,51
2019.01.15,52
2019.01.16,52
2019.01.17,52
2019.01.18,54
2019.01.22,53
2019.01.23,53
2019.01.24,53
2019.01.25,54
2019.01.28,52
2019.01.29,53
2019.01.30,54
2019.01.31,54
2019.02.01,55
2019.02.04,55
2019.02.05,54
2019.02.06,54
2019.02.07,53
2019.02.08,53
2019.02.11,52
2019.02.12,53
2019.02.13,54
2019.02.14,54
2019.02.15,56
2019.02.19,56
2019.02.20,57
2019.02.21,57
2019.02.22,57
2019.02.25,55
2019.02.26,56
2019.02.27,57
2019.02.28,57
2019.03.01,56
2019.03.04,57
2019.03.05,57
2019.03.06,56
2019.03.07,57
2019.03.08,56
2019.03.11,57
